@relation QueryResult

@attribute Year numeric
@attribute DayOfYear numeric
@attribute Price numeric

@data
2011,159,3.7594
2011,160,3.74065
2011,161,3.7994
2011,163,3.8325
2011,164,3.73315
2011,165,3.6594
2011,166,3.5569
2011,167,3.3544
2011,168,3.3594
2011,170,3.37
2011,171,3.2925
2011,172,3.38625
2011,173,3.1844
2011,174,3.22875
2011,175,3.15815
2011,177,3.265
2011,178,3.28815
2011,179,3.40375
2011,180,3.375
2011,181,3.0019
2011,182,3.05815
2011,185,3.12815
2011,186,3.17625
2011,187,3.12065
2011,188,3.17625
2011,189,3.25
2011,191,3.2369
2011,192,3.19065
2011,193,3.3375
2011,194,3.58
2011,195,3.5394
2011,196,3.4769
2011,198,3.4069
2011,199,3.46815
2011,200,3.50315
2011,201,3.4369
2011,202,3.40375
2011,203,3.4669
2011,205,3.41815
2011,206,3.43815
2011,207,3.46065
2011,208,3.4994
2011,209,3.4869
2011,210,3.3644
2011,212,3.3744
2011,213,3.405
2011,214,3.5769
2011,215,3.5244
2011,216,3.365
2011,217,3.38875
2011,219,3.36815
2011,220,3.2594
2011,221,3.4144
2011,222,3.4225
2011,223,3.51565
2011,224,3.51815
2011,226,3.55565
2011,227,3.5519
2011,228,3.62815
2011,229,3.6275
2011,230,3.53065
2011,231,3.65875
2011,233,3.66065
2011,234,3.68815
2011,235,3.775
2011,236,3.73315
2011,237,3.7719
2011,238,3.81
2011,240,3.85315
2011,241,3.94875
2011,242,3.9294
2011,243,3.94065
2011,244,3.82565
2011,245,3.8794
2011,248,3.82815
2011,249,3.81815
2011,250,3.7675
2011,251,3.69065
2011,252,3.64565
2011,254,3.64
2011,255,3.65815
2011,256,3.5194
2011,257,3.52
2011,258,3.48875
2011,259,3.4669
2011,261,3.4425
2011,262,3.38315
2011,263,3.36565
2011,264,3.31065
2011,265,3.18815
2011,266,3.21315
2011,268,3.23065
2011,269,3.2725
2011,270,3.2619
2011,271,3.16375
2011,272,3.2925
2011,273,3.03
2011,275,3.0619
2011,276,3.0794
2011,277,3.05565
2011,278,3.1319
2011,279,3.07565
2011,280,3.0444
2011,282,3.06065
2011,283,3.07315
2011,284,3.2875
2011,285,3.1194
2011,286,3.10875
2011,287,3.1194
2011,289,3.1069
2011,290,3.1244
2011,291,3.14815
2011,292,3.085
2011,293,3.1544
2011,294,3.15315
2011,296,3.16875
2011,297,3.2119
2011,298,3.1769
2011,299,3.1069
2011,300,3.21315
2011,301,3.23065
2011,303,3.23815
2011,304,3.14625
2011,305,3.13065
2011,306,3.1219
2011,307,3.17315
2011,308,3.1769
2011,311,3.195
2011,312,3.29065
2011,313,3.21315
2011,314,3.1069
2011,315,3.09
2011,318,3.07315
2011,319,3.16
2011,320,3.08565
2011,321,2.9594
2011,322,2.98315
2011,325,2.9594
2011,326,2.97065
2011,327,2.89875
2011,329,2.87
2011,332,2.9644
2011,333,3.0744
2011,334,3.0744
2011,335,3.0719
2011,336,3.13315
2011,339,3.0594
2011,340,3.0619
2011,341,3.0019
2011,342,2.9794
2011,343,2.98065
2011,345,2.9775
2011,346,2.9694
2011,347,3.00815
2011,348,2.9075
2011,349,2.8919
2011,350,2.91565
2011,353,3.0044
2011,354,3.0344
2011,355,3.08875
2011,356,3.1075
2011,357,3.11
2011,359,3.10875
2011,360,3.10875
2011,361,3.21815
2011,362,3.25315
2011,363,3.22565
2011,364,3.26565
2012,2,3.26565
2012,3,3.2919
2012,4,3.25065
2012,5,3.1369
2012,6,3.12315
2012,9,3.2119
2012,10,3.19815
2012,11,3.21625
2012,12,3.0294
2012,13,3.00815
2012,17,3.0244
2012,18,2.96065
2012,19,3.03065
2012,20,3.05315
2012,23,3.09815
2012,24,3.16815
2012,25,3.20815
2012,26,3.26565
2012,27,3.23625
2012,30,3.2194
2012,31,3.33315
2012,32,3.37315
2012,33,3.30815
2012,34,3.3019
2012,37,3.34315
2012,38,3.30565
2012,39,3.30565
2012,40,3.2269
2012,41,3.1494
2012,44,3.2094
2012,45,3.17125
2012,46,3.13065
2012,47,3.13565
2012,48,3.22065
2012,52,3.16815
2012,53,3.2244
2012,54,3.2044
2012,55,3.21125
2012,58,3.26875
2012,59,3.3369
2012,60,3.3394
2012,61,3.315
2012,62,3.36125
2012,65,3.3544
2012,66,3.28565
2012,67,3.19315
2012,68,3.17315
2012,69,3.2044
2012,71,3.19625
2012,72,3.25565
2012,73,3.2475
2012,74,3.23125
2012,75,3.31815
2012,76,3.36065
2012,78,3.3725
2012,79,3.26125
2012,80,3.21375
2012,81,3.20375
2012,82,3.24375
2012,83,3.27315
2012,85,3.25125
2012,86,3.29375
2012,87,3.2044
2012,88,3.16625
2012,89,3.08315
2012,90,3.2944
2012,92,3.3175
2012,93,3.2694
2012,94,3.2919
2012,95,3.20625
2012,96,3.19315
2012,99,3.20815
2012,100,3.2069
2012,101,3.11375
2012,102,3.1494
2012,103,3.1994
2012,104,3.1144
2012,106,3.10125
2012,107,3.09375
2012,108,3.08065
2012,109,3.0694
2012,110,3.1294
2012,111,3.0844
2012,113,3.11125
2012,114,3.165
2012,115,3.19375
2012,116,3.13625
2012,117,3.18
2012,118,3.2469
2012,120,3.2444
2012,121,3.26315
2012,122,3.2
2012,123,3.08065
2012,124,3.09065
2012,125,3.0444
2012,127,3.0444
2012,128,3.0594
2012,129,3.08625
2012,130,3.0119
2012,131,3.0044
2012,132,2.98315
2012,134,2.99375
2012,135,2.9919
2012,136,3.04565
2012,137,3.1944
2012,138,3.28815
2012,139,3.4744
2012,141,3.5194
2012,142,3.4875
2012,143,3.4194
2012,144,3.3494
2012,145,3.3269
2012,146,3.3994
2012,150,3.30125
2012,151,3.26125
2012,152,3.22815
2012,153,3.06625
2012,155,3.0675
2012,156,3.14125
2012,157,3.07815
2012,158,3.12815
2012,159,3.17625
2012,160,3.15065
2012,162,3.15
2012,163,3.13625
2012,164,3.0894
2012,165,3.09565
2012,166,3.10625
2012,167,3.0694
2012,169,3.0775
2012,170,3.1575
2012,171,3.24815
2012,172,3.29315
2012,173,3.2925
2012,174,3.37315
2012,176,3.51315
2012,177,3.735
2012,178,3.7094
2012,179,3.7394
2012,180,3.7119
2012,181,3.7944
2012,183,3.8669
2012,184,3.8775
2012,185,3.99565
2012,187,4.14
2012,188,4.03565
2012,190,4.1075
2012,191,4.08875
2012,192,4.1125
2012,193,4.1469
2012,194,4.2275
2012,195,4.23315
2012,197,4.3344
2012,198,4.48065
2012,199,4.41875
2012,200,4.4919
2012,201,4.66315
2012,202,4.7194
2012,204,4.66125
2012,205,4.4594
2012,206,4.3169
2012,207,4.465
2012,208,4.3994
2012,209,4.49375
2012,211,4.5494
2012,212,4.555
2012,213,4.46315
2012,214,4.40815
2012,215,4.3075
2012,216,4.45565
2012,218,4.42565
2012,219,4.4594
2012,220,4.4375
2012,221,4.49875
2012,222,4.57625
2012,223,4.435
2012,225,4.40375
2012,226,4.2969
2012,227,4.22815
2012,228,4.23375
2012,229,4.31875
2012,230,4.3694
2012,232,4.36125
2012,233,4.3969
2012,234,4.4844
2012,235,4.4775
2012,236,4.3719
2012,237,4.3369
2012,239,4.46
2012,240,4.39375
2012,241,4.3794
2012,242,4.51125
2012,243,4.5175
2012,244,4.44315
2012,248,4.4325
2012,249,4.3394
2012,250,4.45375
2012,251,4.5275
2012,253,4.54315
2012,254,4.4425
2012,255,4.4194
2012,256,4.4494
2012,257,4.5069
2012,258,4.6294
2012,260,4.58065
2012,261,4.41815
2012,262,4.33375
2012,263,4.425
2012,264,4.40375
2012,265,4.4944
2012,267,4.51315
2012,268,4.43125
2012,269,4.43875
2012,270,4.3644
2012,271,4.2794
2012,272,4.4969
2012,274,4.47815
2012,275,4.40125
2012,276,4.33815
2012,277,4.3519
2012,278,4.36125
2012,279,4.2844
2012,281,4.2944
2012,282,4.3125
2012,283,4.32125
2012,284,4.34375
2012,285,4.4119
2012,286,4.2844
2012,288,4.2644
2012,289,4.28065
2012,290,4.2325
2012,291,4.28125
2012,292,4.3425
2012,293,4.35565
2012,295,4.3694
2012,296,4.38565
2012,297,4.3369
2012,298,4.3919
2012,299,4.37375
2012,300,4.32
2012,302,4.30625
2012,303,4.28875
2012,304,4.30065
2012,305,4.3344
2012,306,4.32625
2012,307,4.33125
2012,309,4.33875
2012,310,4.36
2012,311,4.38065
2012,312,4.4469
2012,313,4.50315
2012,314,4.43625
2012,316,4.4194
2012,317,4.29315
2012,318,4.27125
2012,319,4.23815
2012,320,4.23
2012,321,4.18565
2012,323,4.18815
2012,324,4.2169
2012,325,4.2194
2012,326,4.22565
2012,328,4.23565
2012,330,4.29875
2012,331,4.3225
2012,332,4.43
2012,333,4.4344
2012,334,4.4275
2012,335,4.3175
2012,337,4.3175
2012,338,4.30625
2012,339,4.29125
2012,340,4.30315
2012,341,4.3025
2012,342,4.3
2012,344,4.28815
2012,345,4.2394
2012,346,4.1194
2012,347,4.0644
2012,348,4.04
2012,349,4.0694
2012,351,4.0744
2012,352,4.06315
2012,353,4.0669
2012,354,4.03565
2012,355,3.96125
2012,356,3.9594
2012,358,3.9725
2012,359,3.97065
2012,361,3.8794
2012,362,3.8844
2012,363,3.8919
2012,365,3.875
2012,366,3.8925
2013,2,3.7944
2013,3,3.77125
2013,4,3.7444
2013,6,3.74125
2013,7,3.76125
2013,8,3.7544
2013,9,3.74815
2013,10,3.73
2013,11,3.7894
2013,13,3.8375
2013,14,3.85125
2013,15,3.9169
2013,16,3.93375
2013,17,3.9269
2013,18,3.9525
2013,20,3.9525
2013,22,3.8819
2013,23,3.8644
2013,24,3.8569
2013,25,3.8794
2013,27,3.8975
2013,28,3.8919
2013,29,3.8694
2013,30,3.93375
2013,31,3.90815
2013,32,3.83065
2013,34,3.8294
2013,35,3.8269
2013,36,3.78815
2013,37,3.79875
2013,38,3.78375
2013,39,3.78065
2013,41,3.7894
2013,42,3.7094
2013,43,3.67125
2013,44,3.68875
2013,45,3.6719
2013,46,3.71
2013,50,3.66375
2013,51,3.6844
2013,52,3.615
2013,53,3.5694
2013,55,3.60065
2013,56,3.5294
2013,57,3.5594
2013,58,3.56
2013,59,3.5819
2013,60,3.6019
2013,62,3.595
2013,63,3.5175
2013,64,3.52625
2013,65,3.41625
2013,66,3.47815
2013,67,3.4819
2013,69,3.4969
2013,70,3.50375
2013,71,3.515
2013,72,3.56125
2013,73,3.6244
2013,74,3.61565
2013,76,3.58315
2013,77,3.57065
2013,78,3.6369
2013,79,3.66815
2013,80,3.6419
2013,81,3.6469
2013,83,3.65
2013,84,3.63065
2013,85,3.64815
2013,86,3.68
2013,87,3.44125
2013,90,3.4225
2013,91,3.3369
2013,92,3.3719
2013,93,3.5094
2013,94,3.4625
2013,95,3.4969
2013,98,3.55875
2013,99,3.53625
2013,100,3.4844
2013,101,3.4925
2013,102,3.57065
2013,105,3.46315
2013,106,3.51815
2013,107,3.5169
2013,108,3.52065
2013,109,3.5419
2013,112,3.51065
2013,113,3.4894
2013,114,3.45125
2013,115,3.50815
2013,116,3.4344
2013,119,3.57625
2013,120,3.65125
2013,121,3.59815
2013,122,3.64625
2013,123,3.60875
2013,126,3.51125
2013,127,3.53815
2013,128,3.5275
2013,129,3.62065
2013,130,3.5175
2013,133,3.5469
2013,134,3.5619
2013,135,3.4694
2013,136,3.4444
2013,137,3.41315
2013,140,3.43125
2013,141,3.3994
2013,142,3.4344
2013,143,3.525
2013,144,3.4819
2013,148,3.4675
2013,149,3.5019
2013,150,3.4894
2013,151,3.53315
2013,154,3.5469
2013,155,3.54815
2013,156,3.5069
2013,157,3.4925
2013,158,3.48125
2013,161,3.45125
2013,162,3.48065
2013,163,3.4094
2013,164,3.42815
2013,165,3.40565
2013,168,3.4169
2013,169,3.4344
2013,170,3.52565
2013,171,3.4994
2013,172,3.4894
2013,175,3.43875
2013,176,3.42565
2013,177,3.38315
2013,178,3.3644
2013,179,3.2844
2013,182,3.28315
2013,183,3.2819
2013,184,3.33
2013,185,3.33
2013,186,3.2994
2013,189,3.3119
2013,190,3.3819
2013,191,3.39065
2013,192,3.4119
2013,193,3.405
2013,196,3.3475
2013,197,3.34625
2013,198,3.32625
2013,199,3.30565
2013,200,3.3194
2013,203,3.2994
2013,204,3.27315
2013,205,3.26565
2013,206,3.2419
2013,207,3.24625
2013,210,3.25565
2013,211,3.28
2013,212,3.31815
2013,213,3.29565
2013,214,3.30125
2013,217,3.22625
2013,218,3.25
2013,219,3.2194
2013,220,3.20565
2013,221,3.16815
2013,224,3.17625
2013,225,3.1375
2013,226,3.1519
2013,227,3.18815
2013,228,3.1575
2013,231,3.2025
2013,232,3.1725
2013,233,3.1919
2013,234,3.1525
2013,235,3.16875
2013,238,3.33565
2013,239,3.31625
2013,240,3.3019
2013,241,3.2719
2013,242,3.2744
2013,246,3.2375
2013,247,3.2319
2013,248,3.1969
2013,249,3.23815
2013,252,3.2044
2013,253,3.23125
2013,254,3.2394
2013,255,3.2644
2013,256,3.2025
2013,259,3.2044
2013,260,3.2125
2013,261,3.2275
2013,262,3.28125
2013,263,3.2294
2013,266,3.2694
2013,267,3.28815
2013,268,3.34815
2013,269,3.39315
2013,270,3.40565
2013,273,3.39565
2013,274,3.4169
2013,275,3.43
2013,276,3.44315
2013,277,3.43315
2013,280,3.475
2013,281,3.46565
2013,282,3.45065
2013,283,3.425
2013,284,3.46
2013,287,3.4594
2013,288,3.42815
2013,289,3.40565
2013,290,3.42815
2013,291,3.52625
2013,294,3.4944
2013,295,3.50315
2013,296,3.50875
2013,297,3.4825
2013,298,3.45815
2013,301,3.4044
2013,302,3.40875
2013,303,3.37065
2013,304,3.3369
2013,305,3.33565
2013,308,3.3169
2013,309,3.2825
2013,310,3.26815
2013,311,3.2669
2013,312,3.24
2013,315,3.23125
2013,316,3.225
2013,317,3.22625
2013,318,3.2244
2013,319,3.21875
2013,322,3.2119
2013,323,3.25
2013,324,3.2325
2013,325,3.24315
2013,326,3.245
2013,328,3.28125
2013,329,3.2975
2013,330,3.27875
2013,331,3.32315
2013,333,3.34125
2013,336,3.3144
2013,337,3.3444
2013,338,3.31
2013,339,3.25815
2013,340,3.25375
2013,343,3.2525
2013,344,3.1975
2013,345,3.20565
2013,346,3.1669
2013,347,3.14565
2013,350,3.10815
2013,351,3.0944
2013,352,3.0619
2013,353,3.05065
2013,354,3.06815
2013,357,3.04625
2013,358,3.0319
2013,360,3.02875
2013,361,3.04065
2013,364,3.00065
2013,365,3.02565
2014,1,3.02565
2014,2,2.98375
2014,3,3.03315
2014,6,3.03065
2014,7,3.0119
2014,8,2.93815
2014,9,2.9225
2014,10,2.84065
2014,13,2.8644
2014,14,2.8969
2014,15,2.8369
2014,16,2.86065
2014,17,2.8144
2014,21,2.8094
2014,22,2.80565
2014,23,2.8494
2014,24,2.83125
2014,27,2.8194
2014,28,2.8294
2014,29,2.7544
2014,30,2.76875
2014,31,2.775
2014,34,2.8194
2014,35,2.9269
2014,36,2.935
2014,37,2.8994
2014,38,2.88875
2014,41,2.9275
2014,42,2.94565
2014,43,2.9294
2014,44,2.9725
2014,45,2.9875
2014,49,3.06065
2014,50,3.1019
2014,51,3.0794
2014,52,3.0494
2014,55,3.08625
2014,56,3.08625
2014,57,3.0269
2014,58,2.9519
2014,59,3.0019
2014,62,3.1725
2014,63,3.21625
2014,64,3.2019
2014,65,3.23315
2014,66,3.2675
2014,69,3.19815
2014,70,3.29065
2014,71,3.42065
2014,72,3.36065
2014,73,3.43315
2014,76,3.37315
2014,77,3.4594
2014,78,3.57815
2014,79,3.5319
2014,80,3.46125
2014,83,3.5669
2014,84,3.5469
2014,85,3.4869
2014,86,3.5525
2014,87,3.47565
2014,90,3.48565
2014,91,3.4269
2014,92,3.34315
2014,93,3.37625
2014,94,3.35125
2014,97,3.38315
2014,98,3.39625
2014,99,3.34125
2014,100,3.31125
2014,101,3.29565
2014,104,3.39065
2014,105,3.50815
2014,106,3.44
2014,107,3.45125
2014,111,3.3444
2014,112,3.3619
2014,113,3.3819
2014,114,3.4519
2014,115,3.5044
2014,118,3.5444
2014,119,3.57815
2014,120,3.6075
2014,121,3.54315
2014,122,3.58
2014,125,3.6369
2014,126,3.69315
2014,127,3.6944
2014,128,3.67315
2014,129,3.61375
2014,131,3.61375
2014,132,3.5744
2014,133,3.54815
2014,134,3.4519
2014,135,3.3894
2014,136,3.3744
2014,139,3.37565
2014,140,3.34565
2014,141,3.3169
2014,142,3.29815
2014,143,3.2594
2014,147,3.2044
2014,148,3.19315
2014,149,3.16125
2014,150,3.14065
2014,153,3.1019
2014,154,3.06065
2014,155,3.0694
2014,156,3.02565
2014,157,3.0969
2014,160,3.07125
2014,161,3.00565
2014,162,2.9444
2014,163,2.9244
2014,164,2.92565
2014,167,2.9019
2014,168,2.9075
2014,169,2.93125
2014,170,2.9694
2014,171,2.9244
2014,174,2.94565
2014,175,2.9
2014,176,2.92065
2014,177,2.9219
2014,178,2.9644
2014,181,2.88375
2014,182,2.86565
2014,183,2.88315
2014,184,2.8975
2014,187,2.8975
2014,188,2.79125
2014,189,2.7794
2014,190,2.75625
2014,191,2.74315
2014,192,2.6294
2014,195,2.6919
2014,196,2.69125
2014,197,2.69
2014,198,2.75625
2014,199,2.65875
2014,202,2.65125
2014,203,2.6244
2014,204,2.6494
2014,205,2.645
2014,206,2.68815
2014,209,2.6744
2014,210,2.60315
2014,211,2.64
2014,212,2.6519
2014,213,2.66875
2014,215,2.66875
2014,216,2.7244
2014,217,2.76065
2014,218,2.83815
2014,219,2.80815
2014,220,2.7394
2014,223,2.73375
2014,224,2.69125
2014,225,2.6369
2014,226,2.68065
2014,227,2.75815
2014,230,2.7119
2014,231,2.73315
2014,232,2.6975
2014,233,2.7325
2014,234,2.74625
2014,237,2.77815
2014,238,2.7794
2014,239,2.8069
2014,240,2.8544
2014,241,2.8169
2014,245,2.77375
2014,246,2.6769
2014,247,2.6494
2014,248,2.6769
2014,251,2.66875
2014,252,2.6444
2014,253,2.59815
2014,254,2.54565
2014,255,2.5125
2014,258,2.5019
2014,259,2.4844
2014,260,2.4969
2014,261,2.44065
2014,262,2.37
2014,265,2.38315
2014,266,2.37875
2014,267,2.4019
2014,268,2.37125
2014,269,2.3744
2014,272,2.4044
2014,273,2.39315
2014,274,2.39315
2014,275,2.41875
2014,276,2.43065
2014,279,2.4569
2014,280,2.5344
2014,281,2.5394
2014,282,2.4669
2014,283,2.49375
2014,286,2.52565
2014,287,2.5469
2014,288,2.53875
2014,289,2.59
2014,290,2.5794
2014,293,2.56815
2014,294,2.59875
2014,295,2.61315
2014,296,2.6325
2014,297,2.5925
2014,300,2.6175
2014,301,2.6575
2014,302,2.69315
2014,303,2.6794
2014,304,2.65625
2014,307,2.69565
2014,308,2.66065
2014,309,2.62375
2014,310,2.6019
2014,311,2.5725
2014,314,2.59565
2014,315,2.62
2014,316,2.70815
2014,317,2.76815
2014,318,2.80315
2014,321,2.76125
2014,322,2.7469
2014,323,2.69125
2014,324,2.73565
2014,325,2.73315
2014,328,2.74565
2014,329,2.79315
2014,330,2.81125
2014,331,2.81125
2014,332,2.8919
2014,334,2.8919
2014,335,3.03565
2014,336,3.0169
2014,337,2.94815
2014,338,2.9444
2014,339,2.9669
2014,341,2.9669
2014,342,2.9819
2014,343,2.93
2014,344,2.91065
2014,345,2.98065
2014,346,3.02875
2014,348,3.02875
2014,349,3.09
2014,350,3.10565
2014,351,3.2444
2014,352,3.2669
2014,353,3.1644
2014,355,3.1644
2014,356,3.1244
2014,357,3.1819
2014,358,3.0519
2014,360,3.04625
2014,362,3.04625
2014,363,3.0719
2014,364,3.01625
2014,365,2.9494
2015,2,2.90565
2015,5,2.94315
2015,6,2.96065
2015,7,2.89565
2015,8,2.8369
2015,9,2.8119
2015,12,2.77625
2015,13,2.73875
2015,14,2.69065
2015,15,2.6694
2015,16,2.6569
2015,20,2.6769
2015,21,2.6794
2015,22,2.66875
2015,23,2.64625
2015,26,2.59875
2015,27,2.5944
2015,28,2.5269
2015,29,2.53875
2015,30,2.51625
2015,33,2.4644
2015,34,2.5644
2015,35,2.56065
2015,36,2.6319
2015,37,2.6369
2015,40,2.64565
2015,41,2.6044
2015,42,2.62565
2015,43,2.6019
2015,44,2.66625
2015,48,2.675
2015,49,2.64065
2015,50,2.63815
2015,51,2.5494
2015,54,2.51815
2015,55,2.5169
2015,56,2.48565
2015,57,2.5
2015,58,2.56
2015,61,2.4994
2015,62,2.5219
2015,63,2.4794
2015,64,2.40315
2015,65,2.41125
2015,68,2.45065
2015,69,2.4694
2015,70,2.49315
2015,71,2.53625
2015,72,2.50625
2015,75,2.57565
2015,76,2.51815
2015,77,2.55565
2015,78,2.5569
2015,79,2.65065
2015,82,2.67315
2015,83,2.6169
2015,84,2.5944
2015,85,2.49315
2015,86,2.53875
2015,89,2.6519
2015,90,2.5644
2015,91,2.6444
2015,92,2.6694
2015,96,2.6419
2015,97,2.6344
2015,98,2.6275
2015,99,2.5944
2015,100,2.63375
2015,103,2.5119
2015,104,2.4875
2015,105,2.45315
2015,106,2.47315
2015,107,2.46565
2015,110,2.49315
2015,111,2.5025
2015,112,2.49565
2015,113,2.49065
2015,114,2.4319
2015,117,2.3694
2015,118,2.3819
2015,119,2.4194
2015,120,2.3769
2015,121,2.3694
2015,124,2.36375
2015,125,2.33375
2015,126,2.39625
2015,127,2.36315
2015,128,2.4119
2015,131,2.40815
2015,132,2.4069
2015,133,2.40815
2015,134,2.57315
2015,135,2.55375
2015,138,2.6094
2015,139,2.55315
2015,140,2.5625
2015,141,2.6025
2015,142,2.575
2015,146,2.46315
2015,147,2.44125
2015,148,2.4369
2015,149,2.3894
2015,152,2.47375
2015,153,2.56315
2015,154,2.54565
2015,155,2.61565
2015,156,2.585
2015,159,2.63815
2015,160,2.66375
2015,161,2.56315
2015,162,2.52565
2015,163,2.52125
2015,166,2.4444
2015,167,2.44315
2015,168,2.45815
2015,169,2.4394
2015,170,2.4444
2015,173,2.50875
2015,174,2.61315
2015,175,2.59065
2015,176,2.6619
2015,177,2.80375
2015,180,2.92065
2015,181,3.08315
2015,182,2.93625
2015,183,2.94125
2015,184,2.94125
2015,187,2.9744
2015,188,2.9219
2015,189,2.89125
2015,190,2.8869
2015,191,2.87565
2015,194,2.8775
2015,195,2.8544
2015,196,2.83565
2015,197,2.81315
2015,198,2.77125
2015,201,2.67375
2015,202,2.6194
2015,203,2.5819
2015,204,2.6125
2015,205,2.5619
2015,208,2.51065
2015,209,2.56065
2015,210,2.48
2015,211,2.4869
2015,212,2.49065
2015,215,2.5044
2015,216,2.46875
2015,217,2.51315
2015,218,2.53565
2015,219,2.55315
2015,222,2.61815
2015,223,2.53565
2015,224,2.46875
2015,225,2.5169
2015,226,2.5294
2015,229,2.50315
2015,230,2.4775
2015,231,2.48125
2015,232,2.52065
2015,233,2.4969
2015,236,2.52125
2015,237,2.4825
2015,238,2.455
2015,239,2.42375
2015,240,2.38815
2015,243,2.4269
2015,244,2.42815
2015,245,2.39565
2015,246,2.3244
2015,247,2.33565
2015,251,2.37565
2015,252,2.36315
2015,253,2.39065
2015,254,2.42565
2015,257,2.5069
2015,258,2.4744
2015,259,2.4444
2015,260,2.4044
2015,261,2.43315
2015,264,2.48315
2015,265,2.4769
2015,266,2.53815
2015,267,2.48565
2015,268,2.54065
2015,271,2.53065
2015,272,2.5194
2015,273,2.56125
2015,274,2.59
2015,275,2.56315
2015,278,2.5794
2015,279,2.6294
2015,280,2.58315
2015,281,2.55565
2015,282,2.54065
2015,285,2.5344
2015,286,2.5944
2015,287,2.5419
2015,288,2.51065
2015,289,2.4619
2015,292,2.4269
2015,293,2.45315
2015,294,2.47315
2015,295,2.4544
2015,296,2.45315
2015,299,2.5469
2015,300,2.54565
2015,301,2.5294
2015,302,2.5769
2015,303,2.61065
2015,306,2.5394
2015,307,2.5819
2015,308,2.6319
2015,309,2.6294
2015,310,2.6144
2015,313,2.50815
2015,314,2.4569
2015,315,2.47565
2015,316,2.48815
2015,317,2.48065
2015,320,2.4694
2015,321,2.43875
2015,322,2.4169
2015,323,2.4519
2015,324,2.44565
2015,327,2.4869
2015,328,2.44065
2015,329,2.43815
2015,331,2.395
2015,334,2.37815
2015,335,2.3569
2015,336,2.33565
2015,337,2.3919
2015,338,2.42315
2015,341,2.4144
2015,342,2.4069
2015,343,2.44815
2015,344,2.4769
2015,345,2.4519
2015,348,2.4669
2015,349,2.4694
2015,350,2.4169
2015,351,2.4194
2015,352,2.43065
2015,355,2.39565
2015,356,2.35815
2015,357,2.34815
2015,358,2.34
2015,361,2.34
2015,362,2.33315
2015,363,2.3794
2015,364,2.34815
2015,365,2.3469
2016,4,2.2919
2016,5,2.3069
2016,6,2.31315
2016,7,2.3419
2016,8,2.3919
2016,11,2.34565
2016,12,2.4069
2016,13,2.3894
2016,14,2.3444
2016,15,2.3669
2016,17,2.3669
2016,19,2.3719
2016,20,2.35815
2016,21,2.3769
2016,22,2.3769
2016,25,2.40565
2016,26,2.42565
2016,27,2.3819
2016,28,2.36065
2016,29,2.3969
2016,32,2.37815
2016,33,2.3769
2016,34,2.3994
2016,35,2.36315
2016,36,2.33315
2016,39,2.2919
2016,40,2.2869
2016,41,2.30565
2016,42,2.2919
2016,43,2.2869
2016,47,2.3219
